ID,Name,City,Category,Ratings(5),Rating_count,Description,Address,Map-link,Review 1,Review 2,Review 3,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours
11,Milagres Church,Mangaluru,Church,4.7,"1,234","The Milagres Church is a historic Roman Catholic Church situated in the Hampankatta locality of Mangalore. The church was built in 1680 by Bishop Thomas de Castro, a Theatine from Divar, Goa. The original structure was constructed at the site of the present-day cemetery.","Ground Floor, Sharja Complex, Milagress Cross Rd, opposite Vishal Travels, Hampankatta, Mangaluru, Karnataka 575001","https://www.google.com/maps/place/Milagres+Church,+Mangaluru/@12.8674354,74.8399588,17z/data=!3m1!5s0x3ba35a4c85211515:0x2689a02778618cfb!4m10!1m2!2m1!1sMilagres+Church!3m6!1s0x3ba35a4b7d2c5673:0x112b0a5f996fa04d!8m2!3d12.8674354!4d74.8444649!15sCg9NaWxhZ3JlcyBDaHVyY2haESIPbWlsYWdyZXMgY2h1cmNokgEPY2F0aG9saWNfY2h1cmNomgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJXYmkxRFV6QjNSUkFC4AEA!16s%2Fg%2F12qfkd6l5?entry=ttu","Milagres Church is very good, the main center of Mangalore. Parking available. shops and restaurants are close by.","Have been going here as a teenager. It's filled with solace, peace and beauty. I wait yearly to see their wonderful crib during Christmas. Beautiful, and spacious exteriors as well.","One of the oldest and most popular Churches in Mangalore, located at Hampankatta the very heart of the city, it is architecturally Beautiful Church and also very Sacred, it hosts the Relic of Saint Anthony of Padua, and every Tuesdays there is Mass and Novena that is dedicated to Saint Anthony.There is ample parking available.",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours
12,Mahatobhara Sri Mangaladevi Temple,Ullal,Hindu temple,4.8,"12,739","The Mangaladevi Temple is a Hindu temple at Bolara in the city of Mangalore in the Indian state of Karnataka, situated about three km southwest of the city centre. The temple is dedicated to Hindu god Shakti in the form of Mangaladevi. The city of Mangalore is named after the presiding deity, Mangaladevi. The temple is of significant antiquity and is believed to have been built during the 9th century by Kundavarman, the most famous king of the Alupa dynasty during the 9th century, under the patronage of Matsyendranath. As per another legend, the temple is believed to have been built by Parashurama, one of the ten avatars of Hindu god Vishnu.","Mangaladevi Temple Rd, Bolar, Mangaluru, Karnataka 575001","https://www.google.com/maps/place/Mahatobhara+Sri+Mangaladevi+Temple/@12.8491788,74.8429162,16.21z/data=!4m15!1m8!3m7!1s0x3ba35bbbd8b5408b:0x8ac51fa0a23cf4ec!2sMahatobhara+Sri+Mangaladevi+Temple!8m2!3d12.8491851!4d74.845444!10e1!16zL20vMDdfMDJr!3m5!1s0x3ba35bbbd8b5408b:0x8ac51fa0a23cf4ec!8m2!3d12.8491851!4d74.845444!16zL20vMDdfMDJr?entry=ttu",Loved the calm ambience. Mangalore temples have a very special aura . They are very suspicious and have great interiors. Since we visited on weekdays there was no rush. Had darshan very quickly. Photography was not allowed so could not take pics .,Mangaladevi temple has an historical and mythological story to it and is vibrating place for devotees. Gives peace and positive vibrations. Temple remain closed between 2pm to 4pm.,"One among the old temple in Mangalore. The temple premise was very calm. One of the unique kind of prasad that I tasted was Panchakajjaya. It is very healthy prasad, prepared from dal, coconut, ghee, cardamom. Photography is not allowed inside temple.",,,,,,,,,,,,,,
13,Someshwar Beach,Mangaluru,Beach,4.5,"3,342","Located in Ullal in the city of Mangalore, Someshwara Beach is a quaint hidden gem of the city. Boasting of shimmering golden sands, a long and beautiful coastline, the beach is also peppered with rock boulders called Rudra Shile, making it unique from its other counterparts in the city.

Someshwara Beach also houses the Someshwara Temple, dedicated to the Hindu God Shiva and it is believed that the rocks dotting the beach are present because of the God’s presence. However, due to the presence of these rocks and also because of the strong currents, the waters are not ideal and really risky for swimming. Another prominent attraction in the vicinity of the beach is the “Ottinene Hill” which is a beautiful vantage point and gives you mesmerising glimpses of the city below, the river Netravati and the big beautiful Arabian Sea.","Ullal, Karnataka 575020","https://www.google.com/maps/place/Someshwar+Beach/@12.7869689,74.8419033,15z/data=!3m1!4b1!4m6!3m5!1s0x3ba35c3811831b75:0x2cb0d77d53d50a36!8m2!3d12.7862087!4d74.8534545!16s%2Fg%2F11c57xynj5?entry=ttu","One of the Very deep and Dangerous beach in Karnataka, Not suitable for swimming. It's only good for watch sunset. Even in summer time not suitable for enjoy with family.",Fantastic beach. Nice view from the top and great to see the sunset here. Calm and quite beach and you can relax and spend time in the evening.,Very old and nice temple . Beach view is very nice to see from the temple.. But it's not safe for swimming. We don't find many people coming to the beach,Monday,"6 AM to 1:10 PM, 4 to 8:40 PM",Tuesday,"6 AM to 1:10 PM, 4 to 8:40 PM",Wednesday,"6 AM to 1:10 PM, 4 to 8:40 PM",Thursday,"6 AM to 1:10 PM, 4 to 8:40 PM",Friday,"6 AM to 1:30 PM, 4 to 9:15 PM",Saturday,"6 AM to 1:10 PM, 4 to 8:40 PM",Sunday,"6 AM to 1:10 PM, 4 to 8:40 PM"
14,Srimanthi Bai Memorial Government Museum,Mangaluru,Museum,4.2,420,"The Srimanthi Bai Government Museum or the Bejai Museum is located in the heart of the city and is also Mangalore's only museum. It has a collection of ancient coins, paintings, statues and inscriptions which display the rich heritage of India. The copper inscription containing the verses of Keladi Venkatappa Nayaka dating back to 1624 AD is the highlight here.","VRPX+JCR, Bejai, Mangaluru, Karnataka 575004","https://www.google.com/maps/place/Srimanthi+Bai+Memorial+Government+Museum/@12.8866073,74.8459386,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35a403a66aec5:0x724cd3b2e930290e!8m2!3d12.8866021!4d74.8485135!16s%2Fg%2F11j1hrcxyq?entry=ttu","Well maintained and clean museum with some really beautiful artifact's. Entrance fee is just Rs.20 per person. And what's best is, it's right in the heart of the city and yet there is no rush. No photography allowed inside.","This place is hidden gem of Mangalore. This is a quite and calm place situated on top of a hilly place. The museum has wide variety of items from manuscripts to coin, paintings, furniture, sculptures, Chinese porcelain pots. Photography inside the museum is not allowed. They have few items displayed outside as well.",It’s a personal collection of antiques and vintage belonging to Col. Mirajkar. Museum building was his residence which he donated to the government in the memory of his mother Srimanthi Bai.,Monday,Closed,Tuesday,10 AM to 5:30 PM,Wednesday,10 AM to 5:30 PM,Thursday,10 AM to 5:30 PM,Friday,10 AM to 5:30 PM,Saturday,10 AM to 5:30 PM,Sunday,10 AM to 5:30 PM
15,Kateel Durgaparameshwari Temple,Ullanje,Hindu temple,4.8,"27,496","Kateel Shri Durgaparameshwari Temple is one of the holiest temples in the region. The dominant feature of the temple that attracts people in large numbers is that it is situated on an islet in the middle of River Nandini amidst the serene natural landscape. The temple is dedicated to Goddess Durga Parameshwari and is located at a distance of 27 kilometres from Mangalore.

When visiting the temple, one must take a moment out to appreciate the panoramic view of the location, especially during the monsoon season. The temple has spacious areas and is exceptionally well maintained by the management. Devotees can pray, chant mantras or just sit and soak the divine ambience of the deity as the mesmerising river flows all around the Kateel Durgaparameshwari Temple. This is the attraction to visit for those who are seeking spiritual escape in the city. ","Temple Rd, Ullanje, Karnataka 574150","https://www.google.com/maps/place/Sri+Durgaaparameshwari+Temple,+Kateel/@13.0438862,74.8675055,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35381eaaaaaab:0xd0bac50d47d003cd!8m2!3d13.043881!4d74.8700804!16s%2Fg%2F1tg6h_1p?entry=ttu","Ever since my college days in this city, I have always been visiting the temple. This temple provides anna danam all days of the year. Also please do not miss to meet MAHALAKSHMI, the beautiful and elegant majestic elephant of the temple. Whenever feeling low or high, happy or sad, I used to visit the temple to seek Durga Parameshwari amma's blessing.",My boyfriend's family took me to this temple during my visit in Mangalore. I am not really familiar with the Hindu culture but I appreciate the blessing I received from the old uncles inside the temple.,Just divine and a visit here gives a satisfactory feeling. Must visit. The temple is visited by all and sundry. people from outer city also come to give visit to the temple.,Monday,5:30 AM to 9:30 PM,Tuesday,5:30 AM to 9:30 PM,Wednesday,5:30 AM to 9:30 PM,Thursday,5:30 AM to 9:30 PM,Friday,5:30 AM to 10:30 PM,Saturday,5:30 AM to 9:30 PM,Sunday,5:30 AM to 9:30 PM
16,Sasihithlu Beach,Haleyangadi,Beach,4.5,"3,948","At a distance of 25 kms from Mangalore, in the village of Sasihithlu, Sasihithlu Beach is a gorgeous beach in the state of Karnataka. The beach is the convergence point of the confluence of rivers Nandini and Shambhavi with the Arabian Sea.","Sasihitlu Rd, Haleyangadi, Karnataka 575025","https://www.google.com/maps/place/Sasihitlu+Beach/@13.070767,74.7560838,14z/data=!3m1!4b1!4m6!3m5!1s0x3ba34d59115c3d49:0x2535f64c3a5a28d8!8m2!3d13.0707262!4d74.7766835!16s%2Fg%2F11gy761bsr?entry=ttu","Quite an excellent beach sea waves hitting the shores, a peaceful place to relax on the beachside waters.",As there are many beaches in mangalore if you would like to have peacful atmoso then this the place of visit. Beautiful sunset with a veiw is really beautiful . And the entrance of sasihithlu is beautiful with trees .,This is one of the most beautiful beach of mangalore. You can spend quality time here. You can see here merger of sea and river. You will not get any food items here so need to carry for the kids. Great feeling.,,,,,,,,,,,,,,
17,Mantra Kayaking & Beach Camping,Haleyangadi,Camp,4.7,153,"A remote beach with no road access, Mantra beach is regarded as one of the cleanest and most pristine beaches in all of South India. Situated between the city of Mangalore and the town of Udupi, Mantra beach is distanced from the bright lights of the city. Come set down a picnic blanket and lay back as the sunset turns the sky into an amazing shade of orange followed by some stargazing which is truly out of this world, all to sound of the calming monotonous waves that crash over the shore. Some visitors have even been fortunate enough to witness the Bio-luminescence/Plankton on the River. For a quiet beach to enjoy some light kayaking, Mantra Beach is definitely a must visit. ","6-64, Kolachikambla Rd, Karnad, Mulki, Mangaluru, Karnataka 574154","https://www.google.com/maps/place/Mantra+Kayaking+%26+Beach+Camping/@13.070767,74.7560838,14z/data=!4m14!1m7!3m6!1s0x3ba34d59115c3d49:0x2535f64c3a5a28d8!2sSasihitlu+Beach!8m2!3d13.0707262!4d74.7766835!16s%2Fg%2F11gy761bsr!3m5!1s0x3ba34d557a56b1a1:0x72fc432419db3490!8m2!3d13.0830636!4d74.7799168!16s%2Fg%2F11hcjsv9_y?entry=ttu","There's no beautiful surfing school than Mantra in India. Everything is 5 star here. Friendly place, positive vibes","I've only been here for one day and it is amazing, Surfing, Kayaking, Food, everything is here. Amazing. 10/10. Must Visit. If you don't visit you're missing out. If you are reading this, you are at the right place. Don't go looking elsewhere, come here and enjoy. Surfing Swami was an absolute god and here they'll make you an absolute god at surfing as well. Man, this place is something else.","A beautiful environment , with brilliant people and amazing home cooked healthy food. This place is unique in its own. A must visit place to be.",,,,,,,,,,,,,,
18,Sharavu Mahaganapathi Temple,Polali,Hindu temple,4.8,"2,491","The Sharavu Mahaganapathy Temple is one of the most well known tourist attractions that are situated in the city of Mangalore in Karnataka. This temple is well acclaimed as one of the most popular temples of the southern part of India.
The name “Sharavu” is derived from “Shara” which means arrow. About eight centuries back, the “Sthalapurana” or local legendary depicts, a very powerful king, Maharaja Veerabahu of tuluva region, killed a cow by sheer mistake by shooting it with an arrow. He in reality meant to shoot the tiger which was standing besides the cow. But, his unculpable terrible sin had to be erased, for which he did install a “Shiva Linga” as per the suggestion of a great seer Sri Bharadhwaja.

This Shivalinga has been worshipped by the Maharaja as Sharabeshwara. This sacred place was termed thereafter as “Sharavu” and the newly formed temple tank as “Sharatheertha”.
This temple attracts thousands of devotees everyday. On the special occasions like Sri Ganesh Chaturthi, annual Car Festival or “Rathothsava” starting on Chandramana Yugadi, Deepothsava or Festival of Lights and on Shankasti Chaturthi days, a very large number of devotees do have the sacred “Darshana” of Lord Sharabeshwara Lord Mahaganapathy. This temple is indeed the center of a variety of cultural activities like Yakshagana, Dance Drama etc. and also of humanitarian as well as social service activities","Sharavu Ganapathi Temple Rd, opp. Ideal Towers, Hampankatta, Mangaluru, Karnataka 575001","https://www.google.com/maps/place/Shree+Sharavu+Mahaganapathi+Temple/@12.8704305,74.8382846,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35a4dd8b96897:0xe7a29423e8b815fb!8m2!3d12.8704253!4d74.8408595!16s%2Fg%2F1tgq523r?entry=ttu","situated in the heart of the city this Ganapathy temple is very ancient.Area is little cogested one way road to reach, It is very near to city centre. one feel very relaxed visiting this temple",Divine and full of prayers insie.It is good in its look.It has its power and spirit.The temple is famous in its way.,The temple is smaller in size as compared to other biggies in Mangalore. But the clean atmosphere with surrounding nature attracts devotees. There is big parking ground.,Monday,"6:30 AM to 1 PM, 4 to 8 PM",Tuesday,"6:30 AM to 1 PM, 4 to 8 PM",Wednesday,"6:30 AM to 1 PM, 4 to 8 PM",Thursday,"6:30 AM to 1 PM, 4 to 8 PM",Friday,"6:30 AM to 1 PM, 4 to 8 PM",Saturday,"6:30 AM to 1 PM, 4 to 8 PM",Sunday,"6:30 AM to 1 PM, 4 to 8 PM"
19,Shri Kshetra Raajarajeshwari Temple,Mangaluru,Hindu temple,4.9,"12,193","Polali Rajarajeshwari Temple is an 8th-century temple dedicated to Shri Rajarajeshwari. The most important feature that draws visitors is the idol of Sri Rajarajeshwari which is made of a type of clay that has medicinal properties. The temple architecture is worth a mention with exquisite wooden carvings of the Hindu Gods and copper plates on the roofs. The entire structure has undergone several renovations throughout all these years. However, the charm of the deity, her power and the soothing vibe of the temple attracts devotees in large numbers.","Bantwal, Polali, Karnataka 574219","https://www.google.com/maps/place/Shri+Kshetra+Raajarajeshwari+Temple+(Polali)/@12.9340008,74.9527917,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba357e8a5855a0d:0xd7126677a5e7f683!8m2!3d12.9339956!4d74.9553666!16s%2Fg%2F1tfgbnxx?entry=ttu","Great temple...divine place...clean surroundings and temple buildings...a place to gain inner strength. The Annaprasadam (food offering )was indescribably tasty. Fortunately for us, it was a special day (18th Dec). I witnessed the spectacular chariot-pulling by devotees. Happy I visited the temple.",The most beautiful temple that I have seen till date. Clean and Well maintained. You get darshan easily.,Calm place. Not much crowded. You can spend more time there.felt blessed with Goddess.,Monday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Tuesday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Wednesday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Thursday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Friday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Saturday,"6 AM to 12:45 PM, 4:30 to 8:30 PM",Sunday,"6 AM to 12:45 PM, 4:30 to 8:30 PM"
20,Thousand Pillar Temple,Mudbidri,Jain temple,4.5,35,"Saavira Kambada Basadi (Thousand Pillars temple) is the most prominent of the 18 Jain temples in Moodubidiri town, Karnataka. The finest of these is the 15th-century Chandranatha Basadi, also known as the Thousand Pillars Basadi. The uniqueness of this basadi, is that no two pillars are identical. Official name is Tribhuvana Thilaka Chudamani temple. Jain tirthankara Chandraprabha is the main deity in the thousand pillars temple. Moodabidri is known as the “Jain Varanasi” of South India. The basadis or Jain temples are found all over Dakshina Kannada district but the basadis here have greater significance and are considered as most ornate. Along with Venur and Dharmastala Moodabidri is one of the main centres of Jain pilgrimage in Dakshina Kannada.","3XFX+QJ5, Solapur - Mangalore Hwy, Mudbidri, Karnataka 574227","https://www.google.com/maps/place/Thousand+Pillar+temple/@13.074107,74.9966272,18z/data=!4m6!3m5!1s0x3ba4ab1db6262673:0xb6da0620c31ac5a!8m2!3d13.074107!4d74.9978112!16s%2Fg%2F11sd_sz4xn?entry=ttu","The temple itself was a true marvel. The architecture was exquisite, showcasing intricate designs and craftsmanship. We were in awe of the spiritual aura that enveloped the premises, creating a serene and peaceful ambiance. The beauty of the temple truly left a lasting impression on all of us.",A very old and one of the most famous temples in Warangal. You can see great architecture all over. Parking is congested so visit during non-busy hours.,Rudraeshwara Temple is a beautiful temple with a long history and magnificent architecture. Part of it was under renovation. It is also a functioning temple and the premises have been kept clean. It is very close to the railway station (approx. 5 km.) The whole area can be covered under 30 minutes. A temple pond is attached to the premises.,,,,,,,,,,,,,,
21,Pilikula Science Centre,Mangaluru,Museum,4.5,858,"Inaugurated in 2014, The Pilikula Regional Science Center in Mangaluru is spread over 10 acres and houses 3 exhibition galleries, an inflatable dome planetarium and also a 3D theatre facility, among other things. Inaugurated in 2014, The Pilikula Regional Science Center in Mangaluru is spread over 10 acres and houses 3 exhibition galleries, an inflatable dome planetarium and also a 3D theatre facility, among other things.

This one of a kind Science Center also has a lush Science Park, located outside the building, which also includes a Dinosaur Park. It hosts school children and teachers on a regular basis. You can take your children and family and check out the planetarium shows they host, themed around space and “Mysteries of the unseen World”.","WVGX+2QW, Pilikula, Mudushedde – Post, Mangaluru, Karnataka 575028","https://www.google.com/maps/place/Pilikula+Regional+Science+Centre/@12.9251174,74.8968653,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba357686b9391ab:0x4638ea3cd83547dc!8m2!3d12.9251122!4d74.8994402!16s%2Fg%2F11bwfm718k?entry=ttu","A very average science center. Just the usual things you'd see. Planetarium was cool though, if you enjoy those, I loved the planetarium. Other than that, there's a huge park for kids to run around and play. Else, boring. Place is very clean, gotta mention that.","If you are piqued by science and its trivia, this is the place that comes highly recommended. Children will enjoy the novelty of the place","After a walk in the Zoo, we went to the Planetarium at 12.00 pm..very educative and enlightening experience.. children below 5 years should be discouraged as the 3D effect frightened them and caused avoidable disturbance to the others..very well maintained",Monday,Closed,Tuesday,10 AM to 5 PM,Wednesday,10 AM to 5 PM,Thursday,10 AM to 5 PM,Friday,10 AM to 5 PM,Saturday,10 AM to 5 PM,Sunday,10 AM to 5 PM
22,Sammilan Shetty's Butterfly Park,Mangaluru,Park,4.6,208,"A butterfly reserve spread across 7.35 acres of land in Belvai village. The place being admist Western Ghats has recorded more than 150 species of butterflies, including some of the endemic and most dazzling butterflies of the world. The experience includes a guided field tour, where one can spot butterflies in their natural habitat and also a video presentation on butterflies and their life. Months to visit:June to November Please call before you plan your visit.","Santhadi house NH-169 Butterfly Park Road Mangalore, Beluvai, Karnataka 574213","https://www.google.com/maps/place/Sammilan+Shetty's+Butterfly+Park/@13.1227812,74.9907441,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbb551504cbdc81:0xcd38998290a0eba8!8m2!3d13.122776!4d74.993319!16s%2Fg%2F11_pq_yvl?entry=ttu","We thoroughly enjoyed the visit. Even though we visited at the odd time of the year when not as many species of butterflies are spotted as during July - Aug, the host was very welcoming and gave us the best experience with his comprehensive knowledge and passion for butterflies. It was fascinating to know each and every fact. We would definitely come back in the right season to learn more.",Its heaven on earth. Silent place to have a glance of beautiful butterflies. Mr. Sammilan Shetty is always there to help identify the species and very friendly in nature. Had a great time in the butterfly park and also recommend to watch the movie on the park.,"Fantastic place. Though it was raining heavily, we got to spend some time in the park. We were able to observe 15 species of butterflies, few larvae, pupae and eggs. Excellent videos were shown in order to understand life of butterfly. Overall nice experience would like to visit in September. Thanks to Shetty for his commitment and nice explanation.",Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,9 AM to 1 PM
23,Udupi Shri Krishna Matha,Udupi,Hindu temple,4.7,"39,431","Considered to be one of the most famous pilgrimage sites in South India, the Krishna Temple or the Udupi Sri Krishna Matha is one of the most auspicious temples dedicated to Lord Krishna. The idol of Krishna is adorned with jewels and a golden chariot. What makes the temple unique, is its worshipping pattern. The prayers and process of the whole worship take place only through a silver-plated window with nine holes called the Navagraha Kitiki. A temple known as Udupi Anantheshwara Temple surrounds the Shree Krishna Matha. This temple traces back to 1,000 years. The temple bears a resemblance to a living ashram, fostering daily life and devotion. It is also the birthplace of Daasa Sahitya, a Udupi form of literature. Every two years, the administration and temple offerings are managed cyclically between the eight mathas. They are collectively known as Ashta Mathagalu. It is because Krishna's mother Yashoda wanted to see him take the form of a child, his idol has seen the same kind. Every year, the Krishna Temple attracts thousands of devotees, and daily prayers begin with the blowing of a conch shell at 4:00 AM. Several festivals like Ramanavami, Deepavali, Krishnashtami, Hanuman Jayanti, Saptotsava or the Seven Utsavas (celebrated in January) and the Paryaya festival (once in every two years).","Temple Car St, Sri Krishna Temple Complex, Thenkpete, Maruthi Veethika, Udupi, Karnataka 576101","https://www.google.com/maps/place/Udupi+Shri+Krishna+Matha+(Temple)/@13.3411714,74.7494697,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbba1fb4b68f1:0xf6b5da87d182612e!8m2!3d13.3411662!4d74.7520446!16s%2Fg%2F11h6wlhy7c?entry=ttu","When I visited it was huge crowded, Unable to move with kids and struggled much ,worst crowd management at Udupi krishna temple, but when I visited few years back I could see pleasantly and lovingly. Request to guide some good people who really want to service for Krishna and temple.",Visited twice and had great darshan. Suggest to visit on non holiday season to avoid rush. Temple provides free prasada bhojanam during lunch time.,Beautiful Srikrishna.. Only wish they allowed some time to see..The volunteers don't allow more than a few seconds...It was a Saturday and a rainy day on aug 19 ..It took abt half hour in the general Q to see the Lord..We have to see him thro the bars of a window.The parking area is huge and close to main entrance.. There is a huge *washroom complex*..Mall style..very well maintained ..very near the parking area opp Nandini kiosk,,,,,,,,,,,,,,
24,Corporation Bank Heritage Museum,Udupi,Museum,4.6,707,"Coin Museum Corp Bank, also known as Corporation Bank Heritage Museum has an extensive collection of coins belonging to various dynasties dating back to 400 BC. One can also get extensive knowledge about the history of banking in India since 1906. The Corporation Bank's founder's house was remodelled to establish the heritage museum as a 'Financial Temple'. The museum houses about 1400 coins with a current market value of over 4 million rupees.","8QV2+448, Corporation Bank Road, Thenkpete, Maruthi Veethika, Udupi, Karnataka 576101","https://www.google.com/maps/place/Corporation+Bank+Heritage+Museum+(Coin+Museum)+Udpi/@13.3427808,74.7477418,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbb65e9c9b031:0xfef4cc6a3745acc3!8m2!3d13.3427756!4d74.7503167!16s%2Fg%2F11c4fg39db?entry=ttu","Corporation Bank has done a great job of keeping old coins and currency notes displayed from medieval history. All the background information is nicely displayed alongside. Old postage stamp collection is also very good, all kept in a heritage building, nicely maintained, with professional guide.",Great collection of coins. It had series of demonitization events happened in India. Foreign currencies collection as well. It's actually home of founder of Corporation Bank.,The Bank has converted the house of it's founding president into a coin museum. The collection is awesome and dates back centuries. Wonderful experience.,Monday,10 AM to 5 PM,Tuesday,10 AM to 5 PM,Wednesday,10 AM to 5 PM,Thursday,10 AM to 5 PM,Friday,10 AM to 5 PM,Saturday,10 AM to 5 PM,Sunday,Closed
